Table,Variable,Data Type,Description,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,Notes,,,,,,,,,,,,,
Household,SatServ_B01ID,int,Local bus service satisfaction                                 ,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,2009 - changed from rotated question to subsample asked every year (1995 - 2007 rotated question);2017 - dropped,,,,,,,,,,,,,
Household,WalkRail_B01ID,int,Walk time from household to nearest railway station - minutes - banded time,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2013 - dropped,,,,,,,,,,,,,
Household,BusRail_B01ID,int,Bus time from household to railway station - minutes - banded time,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2013 - dropped,,,,,,,,,,,,,
Household,DescTa_B01ID,int,Frequency of rail service at nearest railway station,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2013 - dropped,,,,,,,,,,,,,
Household,FrqMetro_B01ID,int,Rate the frequency of trains / LU / light rail / metro / tram stop,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,2009 - changed from rotated question to subsample asked every year (1995 - 2007 rotated question);2017 - dropped,,,,,,,,,,,,,
Household,RelMetro_B01ID,int,Rate the reliability of trains / LU / light rail / metro / tram stop,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,2009 - changed from rotated question to subsample asked every year (1995 - 2007 rotated question);2017 - dropped,,,,,,,,,,,,,
Household,ClosSta_B01ID,int,Is LU / light rail / metro / tram stop closer than railway station                      ,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2009 - additional category added,,,,,,,,,,,,,
Household,WalkRailAlt_B01ID,int,Walk time from household to LU / light rail / metro / tram stop - minutes - banded time,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2013 - dropped,,,,,,,,,,,,,
Household,BusRailAlt_B01ID,int,Bus time from household to LU / light rail / metro / tram stop - minutes - banded time,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2013 - dropped,,,,,,,,,,,,,
Household,JTimeGP_B01ID,int,Journey time from household to nearest GP - minutes - banded time,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2009 - changed from rotated question to subsample asked every year (1995 - 2007 rotated question),,,,,,,,,,,,,
Household,JTimeChem_B01ID,int,Journey time from household to nearest chemist - minutes - banded time,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2009 - changed from rotated question to subsample asked every year (1995 - 2007 rotated question),,,,,,,,,,,,,
Household,JTimeHosp_B01ID,int,Journey time from household to nearest hospital - minutes - banded time,0,0,0,1,1,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2009 - changed from rotated question to subsample asked every year (1995 - 2007 rotated question),,,,,,,,,,,,,
Household,JTimeShopC_B01ID,int,Journey time from household to nearest shopping centre - minutes - banded time,0,0,0,1,1,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2009 - changed from rotated question to subsample asked every year (1995 - 2007 rotated question),,,,,,,,,,,,,
Household,JTimeGroc_B01ID,int,Journey time from household to nearest grocer - minutes - banded time,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2009 - changed from rotated question to subsample asked every year (1995 - 2007 rotated question),,,,,,,,,,,,,
Household,JTimePost_B01ID,int,Journey time from household to nearest post office - minutes - banded time,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2009 - changed from rotated question to subsample asked every year (1995 - 2007 rotated question),,,,,,,,,,,,,
Household,JTimePrimSch_B01ID,int,Journey time from household to nearest primary school - minutes - banded time,0,0,0,1,1,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2009 - changed from rotated question to subsample asked every year (1995 - 2007 rotated question),,,,,,,,,,,,,
Household,JTimeSecSch_B01ID,int,Journey time from household to nearest secondary school - minutes - banded time,0,0,0,1,1,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2009 - changed from rotated question to subsample asked every year (1995 - 2007 rotated question),,,,,,,,,,,,,
Household,JTimeColl_B01ID,int,Journey time from household to nearest college - minutes - banded time,0,0,0,1,1,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2009 - changed from rotated question to subsample asked every year (1995 - 2007 rotated question),,,,,,,,,,,,,
Household,Deliv_B01ID,int,"How often online , phone or post ordered goods are delivered",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,0,2019 - Changed to rotated question. 2024 - dropped & replaced with Deliv1_B01ID & Deliv2_B01ID,,,,,,,,,,,,,
Household,HowOrd_B01ID,int,How were the delivered goods ordered,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2013 - dropped,,,,,,,,,,,,,
Household,HowB_B01ID,int,How would you have bought these goods otherwise,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Dropped and replaced with HowBN_B01ID,,,,,,,,,,,,,
Household,ShopOft_B01ID,int,Who does food shopping most often                              ,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2013 - dropped,,,,,,,,,,,,,
Household,DVShop_B01ID,int,Person number of main food shopper in household,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2013 - dropped,,,,,,,,,,,,,
Household,BlueBdg_B01ID,int,Does anyone in household have a blue badge,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,
Household,Settlement2011EW_B03ID,int,ONS Rural-Urban Classification of residence - 2011 Census -  summary - 3 categories,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,This variable was brought into the database on an adhoc basis.;2013 - new variable in processing. 2024 - dropped,,,,,,,,,,,,,
Household,Settlement2011EW_B04ID,int,ONS Rural-Urban Classification of residence - 2011 Census -  summary - 5 categories,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,This variable was brought into the database on an adhoc basis.;2013 - new variable in processing. 2024 - dropped,,,,,,,,,,,,,
Household,Settlement2021EW_B01ID,int,ONS Rural-Urban Classification of residence - 2021 Census - summary -  6 categories,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,This variable was brought into the database on an adhoc basis.;2024 - new variable in processing,,,,,,,,,,,,,
Household,Settlement2021EW_B02ID,int,ONS Rural-Urban Classification of residence - 2021 Census -  summary - 3 categories,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,This variable was brought into the database on an adhoc basis.;2024 - new variable in processing,,,,,,,,,,,,,
Household,Settlement2021EW_B03ID,int,ONS Rural-Urban Classification of residence - 2021 Census -  summary - 2 categories,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,This variable was brought into the database on an adhoc basis.;2024 - new variable in processing,,,,,,,,,,,,,
Household,Online_B01ID,int,Does your household have access to the internet,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2013 - Dropped and replaced with OnlineN_B01ID,,,,,,,,,,,,,
Household,TrainSat_B01ID,int,How satisfied are you with train / underground / metro / light rail / tram services,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,2017 - dropped,,,,,,,,,,,,,
